,VerificationType,AppliedAmount,LanguageCode,Age,Gender,Country,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,DEFAULT,NrDependantsGiven
0,IncomeExpensesVerified,2125.0,Estonian,53,Female,EE,60,62.05,Home improvement,EducationLoan,Cohabitant,0,Retiree,MoreThan5Years,15To25Years,Other,Owner,0.0,301.0,0.0,53.0,0.0,0.0,0.0,354.0,8,485.09,6,26.29,10.92,0,1.0,500.0,590.95,0.0,0.0,1,0
2,IncomeUnverified,3000.0,Estonian,50,Female,EE,60,84.75,Business,Travel,Cohabitant,0,Entrepreneur,MoreThan5Years,MoreThan25Years,Retail and wholesale,Owner,900.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,4,736.45,0,30.58,78.8,0,1.0,1800.0,445.26,3000.0,1.0,0,0
3,IncomeExpensesVerified,10630.0,Estonian,44,Male,EE,60,268.57,Business,EducationLoan,Divorced,1,Entrepreneur,UpTo3Years,MoreThan25Years,Transport and warehousing,Mortgage,600.0,0.0,0.0,0.0,0.0,0.0,600.0,1200.0,7,905.0,3,26.71,349.43,1,0.0,0.0,0.0,0.0,0.0,0,0
4,IncomeVerified,1500.0,Spanish,42,Male,ES,60,63.53,Home improvement,Home improvement,Married,0,Fully employed,UpTo5Years,5To10Years,Other,Living with Parents,863.0,0.0,0.0,0.0,0.0,0.0,0.0,863.0,1,350.0,0,7.36,449.47,1,0.0,0.0,0.0,1500.0,1.0,1,0
5,IncomeExpensesVerified,1595.0,Spanish,34,Female,ES,48,101.19,Other,EducationLoan,Divorced,2,Retiree,UpTo1Year,5To10Years,Other,"Tenant, Pre-furnished Property",0.0,697.0,0.0,0.0,0.0,0.0,0.0,697.0,5,940.0,2,36.04,95.81,1,0.0,0.0,0.0,0.0,0.0,1,0
6,IncomeExpensesVerified,3720.0,Spanish,31,Female,ES,60,243.19,Other,EducationLoan,Married,0,Fully employed,UpTo5Years,10To15Years,Retail and wholesale,"Tenant, unfurnished Property",970.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,5,960.0,2,47.96,154.81,1,0.0,0.0,0.0,0.0,0.0,1,0
7,IncomeVerified,635.0,Estonian,22,Male,EE,60,27.12,Health,Home improvement,Single,0,Fully employed,UpTo1Year,2To5Years,Hospitality and catering,"Tenant, unfurnished Property",745.0,0.0,0.0,0.0,0.0,0.0,0.0,745.0,1,250.0,0,3.64,467.88,1,0.0,0.0,0.0,0.0,0.0,0,0
10,IncomeUnverified,1000.0,Spanish,47,Male,ES,12,116.95,Vehicle,Business,Cohabitant,2,Retiree,MoreThan5Years,5To10Years,Other,Owner,0.0,1126.0,0.0,0.0,0.0,0.0,0.0,1126.0,2,560.0,0,29.04,449.05,1,0.0,0.0,0.0,1500.0,1.0,0,0
11,IncomeExpensesVerified,4000.0,Finnish,60,Male,FI,36,185.35,Home improvement,EducationLoan,Married,0,Fully employed,MoreThan5Years,MoreThan25Years,Finance and insurance,Owner,2590.0,0.0,0.0,0.0,0.0,0.0,0.0,2590.0,8,2068.0,0,48.51,336.65,1,0.0,0.0,0.0,0.0,0.0,0,0
12,IncomeUnverified,5000.0,Estonian,39,Male,EE,60,162.01,Loan consolidation,EducationLoan,Divorced,1,Fully employed,UpTo5Years,15To25Years,Transport and warehousing,Joint Tenant,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9,1293.18,3,51.52,14.81,0,1.0,1000.0,106.17,5000.0,1.0,0,0
