,ApplicationSignedHour,ApplicationSignedWeekday,VerificationType,AppliedAmount,LanguageCode,Age,Gender,Country,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,MonthlyPaymentDay,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,TARGET,EE,ES,FI,SK
0,17.0,4.0,4.0,2125.0,1.0,53.0,1.0,EE,60.0,62.05,2.0,4.0,2.0,0,6.0,MoreThan5Years,15To25Years,1.0,1.0,0.0,301.0,0.0,53.0,0.0,0.0,0.0,354.0,8.0,485.09,6.0,26.29,10.92,12.0,False,1.0,500.0,590.95,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,11.0,5.0,1.0,3000.0,1.0,50.0,1.0,EE,60.0,84.75,3.0,5.0,2.0,0,5.0,MoreThan5Years,MoreThan25Years,7.0,1.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,4.0,736.45,0.0,30.58,78.8,17.0,False,1.0,1800.0,445.26,3000.0,1.0,0.0,1.0,0.0,0.0,0.0
3,22.0,3.0,4.0,10630.0,1.0,44.0,0.0,EE,60.0,268.57,3.0,4.0,4.0,1,5.0,UpTo3Years,MoreThan25Years,8.0,8.0,600.0,0.0,0.0,0.0,0.0,0.0,600.0,1200.0,7.0,905.0,3.0,26.71,349.43,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,15.0,3.0,3.0,1500.0,6.0,42.0,0.0,ES,60.0,63.53,2.0,2.0,1.0,0,3.0,UpTo5Years,5To10Years,1.0,2.0,863.0,0.0,0.0,0.0,0.0,0.0,0.0,863.0,1.0,350.0,0.0,7.36,449.47,1.0,True,0.0,0.0,0.0,1500.0,1.0,1.0,0.0,1.0,0.0,0.0
5,20.0,3.0,4.0,1595.0,6.0,34.0,1.0,ES,48.0,101.19,7.0,4.0,4.0,2,6.0,UpTo1Year,5To10Years,1.0,3.0,0.0,697.0,0.0,0.0,0.0,0.0,0.0,697.0,5.0,940.0,2.0,36.04,95.81,1.0,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6,0.0,5.0,4.0,3720.0,6.0,31.0,1.0,ES,60.0,243.19,7.0,4.0,1.0,0,3.0,UpTo5Years,10To15Years,7.0,4.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,5.0,960.0,2.0,47.96,154.81,1.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7,15.0,2.0,3.0,635.0,1.0,22.0,0.0,EE,60.0,27.12,8.0,2.0,3.0,0,3.0,UpTo1Year,2To5Years,9.0,4.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,745.0,1.0,250.0,0.0,3.64,467.88,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,16.0,4.0,1.0,1000.0,6.0,47.0,0.0,ES,12.0,116.95,6.0,3.0,2.0,2,6.0,MoreThan5Years,5To10Years,1.0,1.0,0.0,1126.0,0.0,0.0,0.0,0.0,0.0,1126.0,2.0,560.0,0.0,29.04,449.05,25.0,True,0.0,0.0,0.0,1500.0,1.0,0.0,1.0,0.0,0.0,0.0
11,10.0,2.0,4.0,4000.0,4.0,60.0,0.0,FI,36.0,185.35,2.0,4.0,1.0,0,3.0,MoreThan5Years,MoreThan25Years,11.0,1.0,2590.0,0.0,0.0,0.0,0.0,0.0,0.0,2590.0,8.0,2068.0,0.0,48.51,336.65,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,12.0,4.0,1.0,5000.0,1.0,39.0,0.0,EE,60.0,162.01,0.0,4.0,4.0,1,3.0,UpTo5Years,15To25Years,8.0,6.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9.0,1293.18,3.0,51.52,14.81,20.0,False,1.0,1000.0,106.17,5000.0,1.0,0.0,1.0,0.0,0.0,0.0
